Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,3,h,1200000,S,Jellis,2016-07-16 00:00:00,2.5,3067,3,2,1,113,Yarra,-37.8056,144.993,Northern Metropolitan,4019
Abbotsford,3,h,1176500,S,LITTLE,2016-07-16 00:00:00,2.5,3067,2,1,1,138,Yarra,-37.8021,144.9965,Northern Metropolitan,4019
Abbotsford,3,h,955000,S,Collins,2016-09-17 00:00:00,2.5,3067,3,1,0,183,Yarra,-37.8022,144.9975,Northern Metropolitan,4019
Abbotsford,2,h,890000,S,Biggin,2016-09-17 00:00:00,2.5,3067,2,1,1,150,Yarra,-37.8011,145.0004,Northern Metropolitan,4019
Abbotsford,4,h,1330000,PI,Kay,2017-03-18 00:00:00,2.5,3067,4,2,2,780,Yarra,-37.8073,144.9952,Northern Metropolitan,4019
Abbotsford,3,t,900000,S,Beller,2017-03-18 00:00:00,2.5,3067,3,2,2,0,Yarra,-37.8093,144.9959,Northern Metropolitan,4019
Abbotsford,3,u,1090000,S,Jellis,2017-03-18 00:00:00,2.5,3067,3,2,2,4290,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,2,u,500000,S,Collins,2016-06-18 00:00:00,2.5,3067,2,1,1,0,Yarra,-37.8015,144.9972,Northern Metropolitan,4019
Abbotsford,2,h,1100000,PI,Biggin,2016-06-18 00:00:00,2.5,3067,2,2,1,124,Yarra,-37.8079,144.9977,Northern Metropolitan,4019
Abbotsford,2,h,1315000,S,Marshall,2016-11-19 00:00:00,2.5,3067,2,1,0,147,Yarra,-37.808,144.994,Northern Metropolitan,4019
Abbotsford,1,u,426000,SP,Greg,2016-08-22 00:00:00,2.5,3067,1,1,1,0,Yarra,-37.8016,144.9988,Northern Metropolitan,4019
Abbotsford,3,h,1447500,PI,Nelson,2016-08-22 00:00:00,2.5,3067,3,3,1,166,Yarra,-37.8017,145.0001,Northern Metropolitan,4019
Abbotsford,1,u,457000,S,Jellis,2016-08-22 00:00:00,2.5,3067,1,1,1,0,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,2,h,1135000,S,Nelson,2016-08-22 00:00:00,2.5,3067,2,2,2,98,Yarra,-37.8005,144.9952,Northern Metropolitan,4019
Abbotsford,4,h,1542000,S,Collins,2016-09-24 00:00:00,2.5,3067,4,3,1,0,Yarra,-37.7994,144.9965,Northern Metropolitan,4019
Abbotsford,3,h,1290000,S,Biggin,2017-02-25 00:00:00,2.5,3067,3,2,2,147,Yarra,-37.805,144.9943,Northern Metropolitan,4019
Abbotsford,3,h,1290000,S,Biggin,2017-02-25 00:00:00,2.5,3067,3,1,1,168,Yarra,-37.8007,144.9958,Northern Metropolitan,4019
Abbotsford,1,u,470000,S,Nelson,2016-07-26 00:00:00,2.5,3067,1,1,1,0,Yarra,-37.8055,144.9961,Northern Metropolitan,4019
Abbotsford,2,h,1180000,S,Jellis,2016-11-27 00:00:00,2.5,3067,2,1,0,162,Yarra,-37.8016,144.9956,Northern Metropolitan,4019
Abbotsford,3,h,1195000,SP,Jellis,2016-11-27 00:00:00,2.5,3067,3,2,1,120,Yarra,-37.8022,144.9954,Northern Metropolitan,4019
Abbotsford,2,h,1012500,S,Nelson,2016-05-28 00:00:00,2.5,3067,2,1,0,182,Yarra,-37.8021,144.9976,Northern Metropolitan,4019
Abbotsford,2,h,1030000,S,Biggin,2016-07-30 00:00:00,2.5,3067,2,1,1,172,Yarra,-37.8086,144.9946,Northern Metropolitan,4019
Airport West,3,t,840000,PI,Nelson,2016-09-03 00:00:00,13.5,3042,3,2,1,303,Moonee Valley,-37.718,144.878,Western Metropolitan,3464
Airport West,3,h,730000,VB,Nelson,2016-12-03 00:00:00,13.5,3042,3,2,1,0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464
Airport West,3,h,770000,SP,Nelson,2017-03-04 00:00:00,13.5,3042,3,2,1,0,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464
Airport West,2,h,603000,S,Nelson,2017-03-04 00:00:00,13.5,3042,2,1,1,272,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464
Airport West,3,t,700000,S,Brad,2017-03-04 00:00:00,13.5,3042,3,2,2,239,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464
Airport West,3,h,600000,S,Maddison,2017-03-04 00:00:00,13.5,3042,2,1,1,290,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464
Airport West,2,u,500000,VB,Barry,2017-03-04 00:00:00,13.5,3042,2,1,1,168,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464
Airport West,3,h,720000,S,Barry,2016-08-06 00:00:00,13.5,3042,2,1,1,620,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464
Airport West,4,h,785000,S,Considine,2016-08-06 00:00:00,13.5,3042,3,1,2,597,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464
Airport West,6,h,725000,SP,Barry,2016-05-07 00:00:00,13.5,3042,6,3,2,976,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464
Airport West,2,t,450000,S,Barry,2016-05-07 00:00:00,13.5,3042,2,1,1,110,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464
Airport West,2,u,515000,S,Barry,2016-11-07 00:00:00,13.5,3042,2,1,1,141,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464
Airport West,2,u,530000,S,Nelson,2016-09-10 00:00:00,13.5,3042,2,1,1,120,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464
Airport West,3,h,895000,PI,Rendina,2016-09-10 00:00:00,13.5,3042,3,1,6,1063,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464
Airport West,3,h,805000,S,Nelson,2016-12-10 00:00:00,13.5,3042,3,1,1,0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464
Airport West,3,u,752000,S,Nelson,2017-02-11 00:00:00,13.5,3042,3,1,1,265,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464
Airport West,2,u,440000,S,Barry,2016-08-13 00:00:00,13.5,3042,2,1,1,192,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464
Airport West,5,h,755000,PI,Propertyau,2016-05-14 00:00:00,13.5,3042,3,2,2,596,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464
Airport West,3,t,700000,PI,Brad,2016-10-15 00:00:00,13.5,3042,3,2,2,165,Moonee Valley,-37.727,144.887,Western Metropolitan,3464
Airport West,3,h,830000,S,Barry,2016-04-16 00:00:00,13.5,3042,3,1,2,971,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464
Airport West,2,u,462500,S,Barry,2016-07-16 00:00:00,13.5,3042,2,1,1,164,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464
Airport West,3,h,670000,SP,Barry,2016-07-16 00:00:00,13.5,3042,3,2,2,657,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464
Airport West,2,h,675000,S,Barry,2016-07-16 00:00:00,13.5,3042,2,1,1,612,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464
Airport West,3,h,1042000,S,Nelson,2016-07-16 00:00:00,13.5,3042,3,2,5,612,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464
Airport West,3,h,910000,S,McDonald,2016-09-17 00:00:00,13.5,3042,3,1,1,775,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464
Airport West,4,h,773000,S,Brad,2016-09-17 00:00:00,13.5,3042,5,3,4,531,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464
Airport West,3,h,810000,PI,Barry,2017-03-18 00:00:00,13.5,3042,3,3,2,555,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464
Airport West,3,h,715000,S,Rendina,2017-03-18 00:00:00,13.5,3042,3,2,2,422,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464
Airport West,3,h,790000,S,Nelson,2017-03-18 00:00:00,13.5,3042,3,1,3,614,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464
Airport West,3,t,540000,SP,Nelson,2016-06-18 00:00:00,13.5,3042,2,2,1,161,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464
Airport West,3,t,825000,SP,Barry,2016-11-19 00:00:00,13.5,3042,3,2,1,293,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464
Airport West,3,h,685000,S,Barry,2016-05-22 00:00:00,13.5,3042,3,1,1,579,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464
Airport West,3,h,805000,S,Barry,2016-08-22 00:00:00,13.5,3042,3,1,1,623,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464
Airport West,2,u,510000,S,Nelson,2016-08-22 00:00:00,13.5,3042,2,1,1,141,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464
Airport West,3,h,612000,S,Nelson,2016-08-22 00:00:00,13.5,3042,3,2,1,212,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464
Airport West,3,h,662000,S,Brad,2016-04-23 00:00:00,13.5,3042,3,1,2,612,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464
Airport West,4,h,978000,S,Nelson,2016-09-24 00:00:00,13.5,3042,4,3,2,532,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464
Airport West,3,h,720000,PI,Nelson,2017-02-25 00:00:00,13.5,3042,3,1,1,585,Moonee Valley,-37.72,144.878,Western Metropolitan,3464
Airport West,4,h,765000,S,Prof.,2016-11-27 00:00:00,13.5,3042,4,1,2,509,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464
Airport West,4,h,900000,S,Harcourts,2016-11-27 00:00:00,13.5,3042,4,2,3,628,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464
Albert Park,2,h,1275000,S,hockingstuart,2016-09-03 00:00:00,3.3,3206,2,1,0,120,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280
Albert Park,2,h,1455000,S,Thomson,2016-09-03 00:00:00,3.3,3206,2,1,0,159,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280
Albert Park,3,h,2850000,PI,Buxton,2017-03-04 00:00:00,3.3,3206,3,2,0,211,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280
Albert Park,3,h,1850000,S,Greg,2017-03-04 00:00:00,3.3,3206,3,2,0,128,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280
Albert Park,2,h,1436000,S,RT,2017-03-04 00:00:00,3.3,3206,2,1,0,130,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280
Albert Park,2,h,1110000,S,Marshall,2016-08-06 00:00:00,3.3,3206,1,1,0,147,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280
Albert Park,2,h,1550000,S,Sotheby's,2016-05-07 00:00:00,3.3,3206,2,1,1,167,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280
Albert Park,4,h,2300000,S,Marshall,2016-05-07 00:00:00,3.3,3206,4,2,1,153,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280
Albert Park,3,t,1550000,VB,Marshall,2016-11-07 00:00:00,3.3,3206,3,2,2,718,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280
Albert Park,3,h,1800000,VB,Greg,2016-11-07 00:00:00,3.3,3206,3,2,1,132,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280
Albert Park,2,h,2120000,S,Greg,2016-09-10 00:00:00,3.3,3206,2,1,1,199,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280
Albert Park,3,h,1800000,VB,Cayzer,2016-09-10 00:00:00,3.3,3206,3,1,1,253,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280
Albert Park,3,h,1800000,S,Marshall,2016-09-10 00:00:00,3.3,3206,3,2,1,90,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280
Albert Park,2,h,1810000,PI,Greg,2016-12-10 00:00:00,3.3,3206,2,1,0,240,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280
Albert Park,3,h,2615000,S,Cayzer,2016-12-10 00:00:00,3.3,3206,3,2,1,177,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280
Albert Park,5,h,2100000,S,Greg,2016-12-10 00:00:00,3.3,3206,5,2,1,237,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280
Albert Park,3,h,1300000,S,hockingstuart,2016-12-10 00:00:00,3.3,3206,3,1,0,129,Port Phillip,-37.8422,144.949,Southern Metropolitan,3280
Albert Park,3,h,1370000,S,Greg,2016-06-12 00:00:00,3.3,3206,3,2,2,0,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280
Albert Park,2,h,1000000,S,Cayzer,2016-11-12 00:00:00,3.3,3206,2,1,0,288,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280
Albert Park,3,h,2575000,S,Greg,2016-10-15 00:00:00,3.3,3206,3,2,1,228,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280
Albert Park,2,h,1322500,S,Greg,2016-10-15 00:00:00,3.3,3206,2,1,0,149,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280
Albert Park,2,h,1562500,S,Greg,2016-10-15 00:00:00,3.3,3206,2,1,0,141,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280
Albert Park,3,h,2000000,VB,RT,2016-04-16 00:00:00,3.3,3206,3,2,1,211,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280
Albert Park,3,h,1900000,S,Greg,2017-03-18 00:00:00,3.3,3206,3,1,0,209,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280
Albert Park,3,h,3010000,S,Greg,2017-03-18 00:00:00,3.3,3206,3,2,0,147,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280
Albert Park,4,h,2800000,VB,Cayzer,2016-06-18 00:00:00,3.3,3206,4,3,1,327,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280
Albert Park,2,u,647000,S,Greg,2016-05-22 00:00:00,3.3,3206,2,1,1,0,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280
Albert Park,3,h,2100000,SP,Marshall,2016-04-23 00:00:00,3.3,3206,2,1,1,120,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280
Albert Park,3,h,2000000,PI,Marshall,2016-09-24 00:00:00,3.3,3206,3,1,1,238,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280
Albert Park,1,u,442500,S,Marshall,2017-02-25 00:00:00,3.3,3206,1,1,0,0,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280
Albert Park,4,h,4735000,S,Marshall,2017-02-25 00:00:00,3.3,3206,4,2,1,330,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280
Albert Park,2,h,1340000,S,Greg,2017-02-25 00:00:00,3.3,3206,2,1,0,136,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280
Albert Park,3,h,1801000,S,hockingstuart,2017-02-25 00:00:00,3.3,3206,3,1,1,202,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280
Albert Park,3,h,1532000,S,Chisholm,2016-07-26 00:00:00,3.3,3206,3,3,1,0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280
Albert Park,3,h,3755000,S,Greg,2016-07-26 00:00:00,3.3,3206,3,2,2,325,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280
Albert Park,4,h,2140000,S,Greg,2016-06-27 00:00:00,3.3,3206,3,2,1,183,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280
Albert Park,2,h,1750000,S,Marshall,2016-11-27 00:00:00,3.3,3206,2,1,1,162,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280
Albert Park,2,h,980000,S,Greg,2016-05-28 00:00:00,3.3,3206,2,1,0,79,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280
Albert Park,3,h,2030000,S,hockingstuart,2016-08-28 00:00:00,3.3,3206,3,2,0,152,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280
Albert Park,3,h,1740000,PI,Marshall,2016-08-28 00:00:00,3.3,3206,3,2,2,147,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280
Albert Park,3,h,2800000,VB,Buxton,2016-07-30 00:00:00,3.3,3206,3,3,1,0,Port Phillip,-37.8399,144.9577,Southern Metropolitan,3280
Albert Park,1,h,985000,S,Marshall,2016-07-30 00:00:00,3.3,3206,1,1,0,81,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280
Alphington,4,h,2000000,S,Brace,2016-09-03 00:00:00,6.4,3078,3,2,4,853,Darebin,-37.7707,145.0318,Northern Metropolitan,2211
Alphington,3,h,1110000,S,Jellis,2016-09-03 00:00:00,6.4,3078,3,2,2,208,Yarra,-37.7854,145.0325,Northern Metropolitan,2211
Alphington,3,h,1492000,S,Jellis,2017-03-04 00:00:00,6.4,3078,3,2,2,411,Darebin,-37.7713,145.0279,Northern Metropolitan,2211
Alphington,4,h,1717500,S,Collins,2016-10-08 00:00:00,6.4,3078,4,2,1,599,Darebin,-37.7717,145.031,Northern Metropolitan,2211
Alphington,5,h,2840000,S,Nelson,2016-06-12 00:00:00,6.4,3078,5,4,4,809,Darebin,-37.775,145.0268,Northern Metropolitan,2211
Alphington,2,u,525500,S,Miles,2016-11-12 00:00:00,6.4,3078,2,1,1,88,Darebin,-37.7791,145.0306,Northern Metropolitan,2211
Alphington,2,t,805000,S,Miles,2016-11-12 00:00:00,6.4,3078,2,2,3,155,Darebin,-37.7804,145.0308,Northern Metropolitan,2211
Alphington,2,u,465000,S,McGrath,2016-11-12 00:00:00,6.4,3078,2,1,1,0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211
Alphington,3,h,2000000,PI,hockingstuart,2016-10-15 00:00:00,6.4,3078,3,3,2,686,Darebin,-37.78,145.0341,Northern Metropolitan,2211
Alphington,3,h,1540000,S,Nelson,2016-04-16 00:00:00,6.4,3078,3,1,2,592,Darebin,-37.7755,145.0288,Northern Metropolitan,2211
Alphington,2,u,820000,S,Nelson,2017-03-18 00:00:00,6.4,3078,2,1,1,183,Darebin,-37.7747,145.0264,Northern Metropolitan,2211
Alphington,4,h,1830000,S,Nelson,2016-11-19 00:00:00,6.4,3078,4,2,2,606,Darebin,-37.7743,145.0316,Northern Metropolitan,2211
Alphington,4,h,2100000,S,Nelson,2016-11-19 00:00:00,6.4,3078,4,2,2,575,Darebin,-37.7723,145.0319,Northern Metropolitan,2211
Alphington,3,h,865000,SP,hockingstuart,2016-05-22 00:00:00,6.4,3078,3,1,1,180,Darebin,-37.7802,145.0243,Northern Metropolitan,2211
Alphington,2,u,390000,VB,Nelson,2016-05-22 00:00:00,6.4,3078,2,1,1,0,Darebin,-37.7773,145.0314,Northern Metropolitan,2211
Alphington,2,t,650000,SP,Brace,2016-09-24 00:00:00,6.4,3078,0,1,0,0,Yarra,-37.7848,145.025,Northern Metropolitan,2211
Alphington,2,u,512000,S,Love,2017-02-25 00:00:00,6.4,3078,2,1,1,0,Darebin,-37.7805,145.0262,Northern Metropolitan,2211
Alphington,3,h,1165000,S,Barry,2016-06-27 00:00:00,6.4,3078,3,1,2,979,Yarra,-37.7792,145.029,Northern Metropolitan,2211
Alphington,4,h,1900000,SP,McGrath,2016-11-27 00:00:00,6.4,3078,4,2,2,556,Yarra,-37.7844,145.0225,Northern Metropolitan,2211
Alphington,3,h,1485000,SP,McGrath,2016-08-28 00:00:00,6.4,3078,3,0,0,597,Darebin,-37.7781,145.0284,Northern Metropolitan,2211
Alphington,4,h,1950000,S,Jellis,2016-07-30 00:00:00,6.4,3078,4,2,3,589,Darebin,-37.7719,145.0309,Northern Metropolitan,2211
Altona,3,h,520000,VB,Greg,2016-09-03 00:00:00,13.8,3018,3,2,1,352,Hobsons Bay,-37.87,144.825,Western Metropolitan,5301
Altona,5,h,1525000,S,Greg,2016-12-03 00:00:00,13.8,3018,5,3,3,729,Hobsons Bay,-37.8721,144.8105,Western Metropolitan,5301
Altona,2,t,720000,S,hockingstuart,2016-02-04 00:00:00,13.8,3018,2,1,2,292,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,5301
Altona,3,h,1120000,S,Barlow,2017-03-04 00:00:00,13.8,3018,3,1,2,506,Hobsons Bay,-37.8693,144.8375,Western Metropolitan,5301
Altona,4,h,780000,PI,Sweeney,2016-06-04 00:00:00,13.8,3018,4,1,4,655,Hobsons Bay,-37.868,144.8154,Western Metropolitan,5301
Altona,4,h,1780000,SP,Greg,2016-06-04 00:00:00,13.8,3018,4,3,6,1057,Hobsons Bay,-37.8681,144.819,Western Metropolitan,5301
Altona,3,u,630000,S,Barlow,2016-08-06 00:00:00,13.8,3018,2,1,2,311,Hobsons Bay,-37.8702,144.8143,Western Metropolitan,5301
Altona,2,u,406000,SP,hockingstuart,2016-08-06 00:00:00,13.8,3018,2,1,1,65,Hobsons Bay,-37.8693,144.8171,Western Metropolitan,5301
Altona,3,h,660000,VB,Greg,2016-05-07 00:00:00,13.8,3018,3,1,1,602,Hobsons Bay,-37.8616,144.8116,Western Metropolitan,5301
Altona,3,h,683500,S,Greg,2016-11-07 00:00:00,13.8,3018,3,1,1,530,Hobsons Bay,-37.8594,144.817,Western Metropolitan,5301
Altona,2,u,580000,S,Barlow,2016-10-08 00:00:00,13.8,3018,2,1,1,225,Hobsons Bay,-37.8696,144.827,Western Metropolitan,5301
Altona,3,h,1335000,S,hockingstuart,2016-10-08 00:00:00,13.8,3018,3,1,4,777,Hobsons Bay,-37.8697,144.8249,Western Metropolitan,5301
Altona,3,t,800000,SP,hockingstuart,2016-10-08 00:00:00,13.8,3018,3,2,2,280,Hobsons Bay,-37.8734,144.8143,Western Metropolitan,5301
Altona,2,u,510000,S,Village,2016-09-10 00:00:00,13.8,3018,2,1,1,127,Hobsons Bay,-37.8686,144.8182,Western Metropolitan,5301
Altona,4,h,1070000,S,Barlow,2016-09-10 00:00:00,13.8,3018,4,2,2,695,Hobsons Bay,-37.8733,144.8147,Western Metropolitan,5301
Altona,2,u,425000,S,hockingstuart,2016-09-10 00:00:00,13.8,3018,2,1,2,115,Hobsons Bay,-37.871,144.8185,Western Metropolitan,5301
Altona,3,u,605000,S,Jas,2016-12-10 00:00:00,13.8,3018,3,2,2,230,Hobsons Bay,-37.8646,144.827,Western Metropolitan,5301
Altona,3,t,705000,S,hockingstuart,2017-02-11 00:00:00,13.8,3018,3,2,2,197,Hobsons Bay,-37.8579,144.8181,Western Metropolitan,5301
Altona,2,u,391000,SP,Greg,2017-02-11 00:00:00,13.8,3018,2,1,1,0,Hobsons Bay,-37.8678,144.8384,Western Metropolitan,5301
Altona,2,u,440000,SP,hockingstuart,2017-02-11 00:00:00,13.8,3018,2,1,1,0,Hobsons Bay,-37.8659,144.831,Western Metropolitan,5301
Altona,4,h,845000,S,hockingstuart,2017-02-11 00:00:00,13.8,3018,4,1,2,745,Hobsons Bay,-37.8658,144.8155,Western Metropolitan,5301
Altona,3,t,743000,SP,Gunn&Co,2016-11-12 00:00:00,13.8,3018,3,2,2,211,Hobsons Bay,-37.8698,144.816,Western Metropolitan,5301
Altona,3,u,730000,SP,Barlow,2016-08-13 00:00:00,13.8,3018,3,2,1,69,Hobsons Bay,-37.868,144.8286,Western Metropolitan,5301
Altona,3,h,635000,S,Sweeney,2016-05-14 00:00:00,13.8,3018,3,1,4,625,Hobsons Bay,-37.8611,144.8114,Western Metropolitan,5301
Altona,2,u,620000,SP,hockingstuart,2016-05-14 00:00:00,13.8,3018,2,1,1,168,Hobsons Bay,-37.8676,144.8202,Western Metropolitan,5301
Altona,2,u,447000,S,Burnham,2016-10-15 00:00:00,13.8,3018,2,1,1,137,Hobsons Bay,-37.8655,144.8299,Western Metropolitan,5301
Altona,3,u,730000,SP,Barlow,2016-04-16 00:00:00,13.8,3018,3,2,1,70,Hobsons Bay,-37.868,144.8287,Western Metropolitan,5301
Altona,3,h,678000,S,hockingstuart,2016-04-16 00:00:00,13.8,3018,3,1,2,606,Hobsons Bay,-37.8608,144.8124,Western Metropolitan,5301
Altona,2,u,580000,PI,Biggin,2016-07-16 00:00:00,13.8,3018,2,2,1,175,Hobsons Bay,-37.8687,144.8268,Western Metropolitan,5301
Altona,3,h,712000,S,hockingstuart,2016-09-17 00:00:00,13.8,3018,3,1,2,363,Hobsons Bay,-37.8674,144.8375,Western Metropolitan,5301
Altona,3,h,840000,SP,Greg,2017-03-18 00:00:00,13.8,3018,3,2,2,534,Hobsons Bay,-37.86,144.8245,Western Metropolitan,5301
Altona,3,h,980000,S,Barlow,2016-11-19 00:00:00,13.8,3018,3,1,2,724,Hobsons Bay,-37.8672,144.817,Western Metropolitan,5301
Altona,3,t,605100,S,hockingstuart,2016-05-22 00:00:00,13.8,3018,3,2,0,265,Hobsons Bay,-37.8583,144.8172,Western Metropolitan,5301
Altona,3,h,880000,PI,Barlow,2016-08-22 00:00:00,13.8,3018,3,3,1,577,Hobsons Bay,-37.8699,144.8235,Western Metropolitan,5301
Altona,3,u,577000,S,Williams,2016-04-23 00:00:00,13.8,3018,3,2,1,205,Hobsons Bay,-37.8684,144.815,Western Metropolitan,5301
